PATIENT_SEX;MKB_CODE;ADRES;VISIT_MONTH_YEAR;AGE_CATEGORY;PATIENT_ID_COUNT
0;A00;Калининград;04.22;children;0
0;A00;Калининград;04.22;elderly;0
0;A00;Калининград;04.22;middleage;0
0;A00;Калининград;04.22;young;1
0;A01;Калининград;04.22;middleage;-2
0;A02.0;Гурьевск;04.22;children;0
0;A02.0;Калининград;04.22;children;1
0;A02.0;Черняховск;04.22;children;0
0;A03.9;Калининград;04.22;children;0
0;A04.0;Черняховск;04.22;children;0
0;A04.0;Черняховск;04.22;young;0
0;A04.4;Калининград;04.22;young;1
0;A04.4;Черняховск;04.22;children;1
0;A04.7;Калининград;04.22;young;1
0;A04.8;Балтийск;04.22;elderly;1
0;A04.8;Гурьевск;04.22;middleage;0
0;A04.8;Калининград;04.22;children;0
0;A04.8;Калининград;04.22;young;1
0;A04.9;Багратионовск;04.22;children;0
0;A04.9;Калининград;04.22;children;4
0;A04.9;Калининград;04.22;middleage;2
0;A04.9;Калининград;04.22;young;8
0;A04.9;Пионерский;04.22;children;0
0;A04.9;Черняховск;04.22;children;0
0;A04;Черняховск;04.22;children;0
0;A05.9;Калининград;04.22;young;1
0;A06.9;Гвардейск;04.22;young;0
0;A06.9;Калининград;04.22;young;1
0;A07.1;Багратионовск;04.22;children;0
0;A07.1;Зеленоградск;04.22;children;1
0;A07.1;Зеленоградск;04.22;elderly;0
0;A07.1;Калининград;04.22;children;19
0;A07.1;Калининград;04.22;elderly;1
0;A07.1;Калининград;04.22;middleage;0
0;A07.1;Калининград;04.22;old;0
0;A07.1;Калининград;04.22;young;5
0;A07.1;Нестеров;04.22;children;-1
0;A07.1;Правдинск;04.22;children;1
0;A07.1;Правдинск;04.22;middleage;0
0;A07.1;Правдинск;04.22;young;1
0;A07.1;Славск;04.22;children;0
0;A07.1;Советск;04.22;young;1
0;A07.1;Черняховск;04.22;children;1
0;A07.1;Черняховск;04.22;elderly;0
0;A07.1;Черняховск;04.22;middleage;0
0;A07.1;Черняховск;04.22;old;0
0;A07.1;Черняховск;04.22;young;1
0;A08.0;Багратионовск;04.22;children;0
0;A08.0;Балтийск;04.22;young;1
0;A08.0;Калининград;04.22;children;3
0;A08.0;Калининград;04.22;elderly;1
0;A08.0;Калининград;04.22;old;1
0;A08.0;Калининград;04.22;young;4
0;A08.0;Пионерский;04.22;children;0
0;A08.0;Пионерский;04.22;middleage;0
0;A08.0;Пионерский;04.22;young;0
0;A08.0;Полесск;04.22;children;0
0;A08.0;Правдинск;04.22;children;0
0;A08.0;Светлый;04.22;children;0
0;A08.1;Гусев;04.22;children;1
0;A08.1;Калининград;04.22;children;2
0;A08.1;Калининград;04.22;young;5
0;A08.1;Правдинск;04.22;children;0
0;A08.1;Светлый;04.22;children;1
0;A08.1;Советск;04.22;children;0
0;A08.1;Черняховск;04.22;children;1
0;A08.2;Калининград;04.22;children;0
0;A08.3;Калининград;04.22;children;0
0;A08.3;Калининград;04.22;young;2
0;A08.3;Пионерский;04.22;children;0
0;A08.3;Правдинск;04.22;children;0
0;A08.4;Балтийск;04.22;middleage;0
0;A08.4;Балтийск;04.22;young;0
0;A08.4;Гусев;04.22;middleage;0
0;A08.4;Калининград;04.22;children;3
0;A08.4;Калининград;04.22;middleage;1
0;A08.4;Озерск;04.22;children;0
0;A08.5;Полесск;04.22;children;0
0;A08.5;Правдинск;04.22;children;0
0;A09;Гурьевск;04.22;children;1
0;A09;Гусев;04.22;children;0
0;A09;Калининград;04.22;children;11
0;A09;Калининград;04.22;elderly;1
0;A09;Калининград;04.22;middleage;1
0;A09;Калининград;04.22;young;4
0;A09;Правдинск;04.22;children;0
0;A09;Советск;04.22;children;0
0;A09;Черняховск;04.22;children;0
0;A15.0;Калининград;04.22;middleage;2
0;A15.0;Калининград;04.22;young;6
0;A15.0;Озерск;04.22;middleage;0
0;A15.0;Полесск;04.22;young;1
0;A15.2;Багратионовск;04.22;middleage;0
0;A15.3;Краснознаменск;04.22;middleage;1
0;A16.0;Багратионовск;04.22;young;1
0;A16.0;Гурьевск;04.22;elderly;0
0;A16.0;Гусев;04.22;middleage;0
0;A16.0;Зеленоградск;04.22;old;0
0;A16.0;Калининград;04.22;middleage;1
0;A16.0;Калининград;04.22;young;4
0;A16.0;Полесск;04.22;elderly;0
0;A23.9;Калининград;04.22;young;1
0;A38;Калининград;04.22;children;1
0;A38;Пионерский;04.22;children;0
0;A38;Светлый;04.22;children;0
0;A40.9;Калининград;04.22;old;0
0;A41.0;Калининград;04.22;middleage;0
0;A46;Багратионовск;04.22;old;0
0;A46;Гвардейск;04.22;elderly;0
0;A46;Гвардейск;04.22;middleage;0
0;A46;Гурьевск;04.22;elderly;0
0;A46;Гурьевск;04.22;middleage;0
0;A46;Зеленоградск;04.22;elderly;0
0;A46;Зеленоградск;04.22;old;0
0;A46;Калининград;04.22;centenarians;0
0;A46;Калининград;04.22;elderly;9
0;A46;Калининград;04.22;middleage;3
0;A46;Калининград;04.22;old;1
0;A46;Калининград;04.22;young;4
0;A46;Мамоново;04.22;young;1
0;A46;Неман;04.22;middleage;0
0;A46;Пионерский;04.22;young;1
0;A46;Правдинск;04.22;elderly;0
0;A46;Правдинск;04.22;old;0
0;A46;Светлый;04.22;middleage;0
0;A46;Светлый;04.22;young;1
0;A46;Славск;04.22;elderly;0
0;A46;Советск;04.22;old;0
0;A46;Черняховск;04.22;elderly;0
0;A49.0;Гусев;04.22;young;0
0;A49.1;Калининград;04.22;children;0
0;A49.1;Черняховск;04.22;elderly;0
0;A49.1;Черняховск;04.22;middleage;0
0;A49.1;Черняховск;04.22;young;0
0;A49.3;Гусев;04.22;children;0
0;A49.9;Калининград;04.22;children;0
0;A50.3;Калининград;04.22;middleage;-2
0;A51.5;Калининград;04.22;elderly;6
0;A51.5;Калининград;04.22;middleage;12
0;A51.5;Калининград;04.22;young;20
0;A52.1;Калининград;04.22;elderly;0
0;A52.2;Калининград;04.22;elderly;0
0;A52.8;Калининград;04.22;elderly;0
0;A52.8;Калининград;04.22;middleage;0
0;A52.8;Калининград;04.22;young;1
0;A53.0;Калининград;04.22;elderly;2
0;A53.0;Калининград;04.22;middleage;3
0;A53.0;Калининград;04.22;young;8
0;A56.0;Калининград;04.22;young;9
0;A59.0;Багратионовск;04.22;middleage;0
0;A59.0;Гусев;04.22;middleage;0
0;A59.0;Калининград;04.22;elderly;0
0;A59.0;Калининград;04.22;middleage;1
0;A59.0;Калининград;04.22;young;4
0;A59.0;Неман;04.22;young;1
0;A59.0;Полесск;04.22;young;1
0;A59.0;Славск;04.22;young;1
0;A59.0;Советск;04.22;young;1
0;A60.0;Калининград;04.22;elderly;1
0;A60.0;Калининград;04.22;middleage;1
0;A60.0;Калининград;04.22;young;11
0;A60.0;Полесск;04.22;middleage;0
0;A60.9;Пионерский;04.22;elderly;1
0;A63.0;Гурьевск;04.22;young;1
0;A63.0;Калининград;04.22;middleage;0
0;A63.0;Калининград;04.22;young;9
0;A63.8;Калининград;04.22;middleage;4
0;A63.8;Калининград;04.22;young;26
0;A63.8;Советск;04.22;middleage;0
0;A63.8;Советск;04.22;young;2
0;A66.3;Калининград;04.22;middleage;0
0;A66.3;Калининград;04.22;young;1
0;A69.2;Гурьевск;04.22;elderly;0
0;A69.2;Калининград;04.22;centenarians;0
