PATIENT_SEX;MKB_CODE;ADRES;VISIT_MONTH_YEAR;AGE_CATEGORY;PATIENT_ID_COUNT;POPULATION;TEMP_AVG
0;A00;Калининград;04.22;children;10;498260;6
0;A00;Калининград;04.22;elderly;7;498260;6
0;A00;Калининград;04.22;middleage;5;498260;6
0;A00;Калининград;04.22;young;10;498260;6
0;A01;Калининград;04.22;middleage;4;498260;6
0;A02.0;Гурьевск;04.22;children;8;19670;6
0;A02.0;Калининград;04.22;children;9;498260;6
0;A02.0;Черняховск;04.22;children;9;35375;6
0;A03.9;Калининград;04.22;children;12;498260;6
0;A04.0;Черняховск;04.22;children;9;35375;6
0;A04.0;Черняховск;04.22;young;8;35375;6
0;A04.4;Калининград;04.22;young;9;498260;6
0;A04.4;Черняховск;04.22;children;9;35375;6
0;A04.7;Калининград;04.22;young;9;498260;6
0;A04.8;Балтийск;04.22;elderly;7;33946;6
0;A04.8;Гурьевск;04.22;middleage;3;19670;6
0;A04.8;Калининград;04.22;children;10;498260;6
0;A04.8;Калининград;04.22;young;9;498260;6
0;A04.9;Багратионовск;04.22;children;9;6401;6
0;A04.9;Калининград;04.22;children;16;498260;6
0;A04.9;Калининград;04.22;middleage;6;498260;6
0;A04.9;Калининград;04.22;young;10;498260;6
0;A04.9;Пионерский;04.22;children;10;12573;6
0;A04.9;Черняховск;04.22;children;10;35375;6
0;A04;Черняховск;04.22;children;9;35375;6
0;A05.9;Калининград;04.22;young;10;498260;6
0;A06.9;Гвардейск;04.22;young;8;13353;6
0;A06.9;Калининград;04.22;young;9;498260;6
0;A07.1;Багратионовск;04.22;children;9;6401;6
0;A07.1;Зеленоградск;04.22;children;9;17296;6
0;A07.1;Зеленоградск;04.22;elderly;6;17296;6
0;A07.1;Калининград;04.22;children;36;498260;6
0;A07.1;Калининград;04.22;elderly;9;498260;6
0;A07.1;Калининград;04.22;middleage;8;498260;6
0;A07.1;Калининград;04.22;old;7;498260;6
0;A07.1;Калининград;04.22;young;13;498260;6
0;A07.1;Нестеров;04.22;children;11;3937;6
0;A07.1;Правдинск;04.22;children;11;4045;6
0;A07.1;Правдинск;04.22;middleage;4;4045;6
0;A07.1;Правдинск;04.22;young;8;4045;6
0;A07.1;Славск;04.22;children;9;3964;6
0;A07.1;Советск;04.22;young;7;38514;6
0;A07.1;Черняховск;04.22;children;12;35375;6
0;A07.1;Черняховск;04.22;elderly;6;35375;6
0;A07.1;Черняховск;04.22;middleage;3;35375;6
0;A07.1;Черняховск;04.22;old;3;35375;6
0;A07.1;Черняховск;04.22;young;7;35375;6
0;A08.0;Багратионовск;04.22;children;9;6401;6
0;A08.0;Балтийск;04.22;young;8;33946;6
0;A08.0;Калининград;04.22;children;24;498260;6
0;A08.0;Калининград;04.22;elderly;7;498260;6
0;A08.0;Калининград;04.22;old;5;498260;6
0;A08.0;Калининград;04.22;young;9;498260;6
0;A08.0;Пионерский;04.22;children;9;12573;6
0;A08.0;Пионерский;04.22;middleage;4;12573;6
0;A08.0;Пионерский;04.22;young;8;12573;6
0;A08.0;Полесск;04.22;children;9;6921;6
0;A08.0;Правдинск;04.22;children;9;4045;6
0;A08.0;Светлый;04.22;children;9;21441;6
0;A08.1;Гусев;04.22;children;9;28177;6
0;A08.1;Калининград;04.22;children;16;498260;6
0;A08.1;Калининград;04.22;young;9;498260;6
0;A08.1;Правдинск;04.22;children;10;4045;6
0;A08.1;Светлый;04.22;children;10;21441;6
0;A08.1;Советск;04.22;children;10;38514;6
0;A08.1;Черняховск;04.22;children;10;35375;6
0;A08.2;Калининград;04.22;children;10;498260;6
0;A08.3;Калининград;04.22;children;12;498260;6
0;A08.3;Калининград;04.22;young;9;498260;6
0;A08.3;Пионерский;04.22;children;10;12573;6
0;A08.3;Правдинск;04.22;children;9;4045;6
0;A08.4;Балтийск;04.22;middleage;4;33946;6
0;A08.4;Балтийск;04.22;young;8;33946;6
0;A08.4;Гусев;04.22;middleage;4;28177;6
0;A08.4;Калининград;04.22;children;17;498260;6
0;A08.4;Калининград;04.22;middleage;5;498260;6
0;A08.4;Озерск;04.22;children;9;2427;6
0;A08.5;Полесск;04.22;children;9;6921;6
0;A08.5;Правдинск;04.22;children;9;4045;6
0;A09;Гурьевск;04.22;children;11;19670;6
0;A09;Гусев;04.22;children;9;28177;6
0;A09;Калининград;04.22;children;23;498260;6
0;A09;Калининград;04.22;elderly;8;498260;6
0;A09;Калининград;04.22;middleage;5;498260;6
0;A09;Калининград;04.22;young;10;498260;6
0;A09;Правдинск;04.22;children;9;4045;6
0;A09;Советск;04.22;children;9;38514;6
